"","","","","","","","","","","","","","","","","","","","","","NAU"
"","[AGVN-C3114] BÁO CÁO HAO HỤT CÔNG ĐOẠN NẤU","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","Tháng 01 Năm 2025","","","","","","","","","","","","",""
"","","","","","","Từ tháng","Tháng 01 Năm 2025","","Đến tháng","Tháng 01 Năm 2025","","","","","","","","","","",""
"","","","","","","","1","2025","","1","2025","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Đơn vị tính : Gram","","","","","",""
"","","","","","-8011.650","-7980.340","-26.280","","","","-8.307","","","-16.583","","","","","Check","Check số liệu",""
"Hình thức nấu","Nghiệp vụ nấu","Màu sắc","Loại NVL","","TL Nguyên NL kho AG xuất thợ","TL Nguyên NL  thợ nhập về kho AG","Tổng hao hụt vàng","","Tổng hao hụt bạc","Hao hụt định mức theo tỉ lệ công ty","","","","Hao hụt vượt định mức","","","Tỉ lệ % tổng hao hụt tính trên TL nguyên NL kho AG xuất thợ","Tổng bồi thường
(VND)","","",""
"","","","","","","","TL Nguyên","TL Qui 24K","","Tỉ lệ %","TL Nguyên","TL Qui 24K","Bạc","TL Nguyên","TL Qui 24K","Bạc","","","","",""
"[1]","","[2]","[3]","[4]","[5]","[6]","[7]","[8]","[9]","[10]","[11]","[12]=
[11]*[4]/99.99%","[13]","[14]=[7]-[11]","[15]=[8]-[12]","[16]","[17] =  [7]/[5]","[18]","","",""
"","","610 hồng","610R","61.00%","0.000","0.000","","","","","","","","","","","","0 ₫","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"III/ Nấu 
Oxy","","III/TC NẤU OXY","","","0.00","0.00","0.00","0.00","","","0.0000","0.0000","","0.0000","0.0000","","0.00%","0 ₫","","",""
"","Pha chế mới","a/ TC PHA CHẾ MỚI","","","0.00","0.00","0.00","0.00","","","0.0000","0.0000","","0.0000","0.0000","","0.00%","0 ₫","","",""
"","","","TC 750K","","0.00","0.00","0.00","0.00","","","0.0000","0.0000","","0.0000","0.0000","","0.00%","0 ₫","","",""
"","","750 trắng","24K","99.99%","0.000","","","","","","","","","","","","","0 ₫","","",""
"","","","CW918","","0.000","","","","","","","","","","","","","","","",""
"","","","HHBAC","","0.000","","","","","","","","","","","","","","","",""
"","","","H9570A","","0.000","","","","","","","","","","","","","","","",""
"","","","750W","75.00%","0.000","0.000","","","","","","","","","","","","","","",""
"","","750W","18K","","0","0.000","0.000","0.000","","0.0004","0.000","0.0000","","0.000","0.000","","","","","",""
"","","750 vàng","24K","99.99%","0.000","","","","","","","","","","","","","0 ₫","","",""
"","","","CY1418","","0.000","","","","","","","","","","","","","","","",""
"","","","HHBAC","","0.000","","","","","","","","","","","","","","","",""
"","","","KHAC","","0.000","","","","","","","","","","","","","","","",""
"","","","750Y","75.00%","0.000","0.000","","","","","","","","","","","","","","",""
"","","750Y","18K","","0","0.000","0.000","0.000","","0.0004","0.000","0.0000","","0.000","0.000","","","","","",""
"","","750 hồng","24K","","0.000","","","","","","","","","","","","","0 ₫","","",""
"","","","CY1418","","0.000","","","","","","","","","","","","","","","",""
"","","","HHBAC","","0.000","","","","","","","","","","","","","","","",""
"","","","750R","","0.000","0.000","","","","","","","","","","","","","","",""
"","","750R","18K","","0","0.000","0.000","0.000","","0.0004","0.000","0.0000","","0.000","0.000","","","","","",""
"","","","TC 680K","","0.00","0.00","0.00","0.00","","","0.0000","0.0000","","0.0000","0.0000","","0.00%","0 ₫","","",""
"","","680 trắng","24K","99.99%","0.000","","","","","","","","","","","","","0 ₫","","",""
"","","","CW918","","0.000","","","","","","","","","","","","","","","",""
"","","","HHBAC","","0.000","","","","","","","","","","","","","","","",""
"","","","H9570A","","0.000","","","","","","","","","","","","","","","",""
"","","","680W","68.00%","0.000","0.000","","","","","","","","","","","","","","",""
"","","680W","68K","","0","0.000","0.000","0.000","","0.00","0.000","0.0000","","0.000","0.000","","","","","",""
"","","680 vàng","24K","99.99%","0.000","","","","","","","","","","","","","0 ₫","","",""
"","","","CY1418","","0.000","","","","","","","","","","","","","","","",""
"","","","HHBAC","","0.000","","","","","","","","","","","","","","","",""
"","","","KHAC","","0.000","","","","","","","","","","","","","","","",""
"","","","680Y","68.00%","0.000","0.000","","","","","","","","","","","","","","",""
"","","680Y","68K","","0","0.000","0.000","0.000","","0.00","0.000","0.0000","","0.000","0.000","","","","","",""
"","","680 hồng","24K","","0.000","","","","","","","","","","","","","0 ₫","","",""
"","","","CY1418","","0.000","","","","","","","","","","","","","","","",""
"","","","HHBAC","","0.000","","","","","","","","","","","","","","","",""
"","","","680R","","0.000","0.000","","","","","","","","","","","","","","",""
"","","680R","68K","","0","0.000","0.000","0.000","","0.00","0.000","0.0000","","0.000","0.000","","","","","",""
"","","","TC 610K","","0.00","0.00","0.00","0.00","0.00","","0.0000","0.0000","","0.0000","0.0000","","0.00%","0 ₫","","",""
"","","610 trắng","24K","99.99%","0.000","","","","","","","","","","","","","0 ₫","","",""
"","","","CW918","","0.000","","","","","","","","","","","","","","","",""
"","","","610W","61.00%","0.000","0.000","","","","","","","","","","","","","","",""
"","","610W","61K","","0","0.000","0.000","0.000","","0.0004","0.000","0.0000","","0.000","0.000","","","","","",""
"","","610 vàng","24K","99.99%","0.000","","","","","","","","","","","","","0 ₫","","",""
"","","","CY1418","","0.000","","","","","","","","","","","","","","","",""
"","","","HHBAC","","0.000","","","","","","","","","","","","","","","",""
"","","","KHAC","","0.000","","","","","","","","","","","","","","","",""
"","","","610Y","61.00%","0.000","0.000","","","","","","","","","","","","","","",""
"","","610Y","61K","","0","0.000","0.000","0.000","","0.0004","0.000","0.0000","","0.000","0.000","","","","","",""
"","","610 hồng","24K","","0.000","","","","","","","","","","","","","0 ₫","","",""
"","","","CY1418","","0.000","","","","","","","","","","","","","","","",""
"","","","NLBAC","","0.000","","","","","","","","","","","","","","","",""
"","","","610R","61.00%","0.000","0.000","","","","","","","","","","","","","","",""
"","","610R","61K","","0","0.000","0.000","0.000","","0.0004","0.000","0.0000","","0.000","0.000","","","","","",""
"","","b/  TC NẤU VỤN","","","0.00","0.00","0.00","0.00","0.00","0.00","0.0000","0.0000","","0.0000","0.0000","0.00","0.00%","0 ₫","","",""
"","Nấu vụn","","TC 750K","","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","0.00","0.00","0.00","0.00%","0 ₫","","",""
"","","750 trắng","750W","75.00%","0.000","0.00","","","","","","","","","","","","0 ₫","","",""
"","","","CW918","","0.000","0.00","","","","","","","","","","","","","","",""
"","","750W","18K","","0","0.000","0.000","0.000","","0.000","0.000","0.000","","0.000","0.000","","","","","",""
"","","750 vàng","750Y","75.00%","0.000","0.00","","","","","","","","","","","","0 ₫","","",""
"","","","HHBAC","75.00%","0.000","0.00","","","","","","","","","","","","","","",""
"","","750Y","18K","","0","0.00","0.00","0.00","","0.00","0.00","0.00","","0.00","0.00","","","","","",""
"","","750 hồng","750R","75.00%","0.000","0.00","","","","","","","","","","","","0 ₫","","",""
"","","","HHBAC","75.00%","0.000","0.00","","","","","","","","","","","","","","",""
"","","750R","18K","","0","0.00","0.00","0.00","","0.00","0.00","0.00","","0.00","0.00","","","","","",""
"","","","TC 680K","","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","0.00","0.00","0.00","0.00%","0 ₫","","",""
"","","680 trắng","680W","75.00%","0.000","0.00","","","","","","","","","","","","0 ₫","","",""
"","","","CW918","","0.000","0.00","","","","","","","","","","","","","","",""
"","","680W","68K","","0","0.000","0.000","0.000","","0.00","0.000","0.000","","0.000","0.000","","","","","",""
"","","680 vàng","680Y","75.00%","0.000","0.00","","","","","","","","","","","","0 ₫","","",""
"","","","HHBAC","75.00%","0.000","0.00","","","","","","","","","","","","","","",""
"","","680Y","68K","","0","0.00","0.00","0.00","","0.00","0.00","0.00","","0.00","0.00","","","","","",""
"","","680 hồng","680R","75.00%","0.000","0.00","","","","","","","","","","","","0 ₫","","",""
"","","","HHBAC","75.00%","0.000","0.00","","","","","","","","","","","","","","",""
"","","680R","68K","","0","0.00","0.00","0.00","","0.00","0.00","0.00","","0.00","0.00","","","","","",""
"","","","TC 610K","","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","0.00","0.00","0.00","0.00%","0 ₫","","",""
"","","610 trắng","610W","61.00%","0.000","0.00","","","","","","","","","","","","0 ₫","","",""
"","","","CW918","","0.000","","","","","","","","","","","","","","","",""
"","","610W","61K","","0","0.000","0.000","0.000","","0.0004","0.000","0.0000","","0.000","0.000","","","","","",""
"","","610 vàng","610Y","61.00%","0.000","0.00","","","","","","","","","","","","0 ₫","","",""
"","","","HHBAC","61.00%","0.000","0.00","","","","","","","","","","","","","","",""
"","","610Y","61K","","0.00","0.00","0.000","0.000","","0.0004","0.0000","0.0000","","0.00","0.0000","","","","","",""
"","","610 hồng","610R","61.00%","0.000","0.00","","","","","","","","","","","","0 ₫","","",""
"","","","HHBAC","61.00%","0.000","0.00","","","","","","","","","","","","","","",""
"","","610R","61K","","0.000","0.000","0.000","0.000","","0.0004","0.000","0.0000","","0.000","0.000","","","","","",""
"IV. Khác
(Nghiệp vụ chấy bột, làm sạch bột)","Lọc","IV/ TC KHÁC","","","0.00","0.00","0.00","0.00","0.00","0.00","0.0000","0.000","","0.0000","0.0000","0.00","0.00%","0 ₫","","",""
"","Lọc","","TC 750K","","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","0.00","0.00","0.00","0.00%","0 ₫","","",""
"","","750 trắng","750W","75.00%","0.000","0.00","","","","","","","","","","","","0 ₫","","",""
"","","750W","18k","","0.000","0.000","0.000","0.000","","0.0004","0.0000","0.0000","","0.000","0.000","","","","","",""
"","","750 vàng","750Y","75.00%","0.000","0.00","","","","","","","","","","","","0 ₫","","",""
"","","750Y","61K","","0.000","0.000","0.000","0.000","","0.0004","0.000","0.0000","","0.000","0.000","","","","","",""
"","","","TC 680K","","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","0.00","0.00","0.00","0.00%","0 ₫","","",""
"","","680 trắng","680W","68.00%","0.000","0.00","","","","","","","","","","","","0 ₫","","",""
"","","680W","68K","","0.000","0.000","0.000","0.000","","0.0004","0.000","0.0000","","0.000","0.000","","","","","",""
"","","680 vàng","680Y","68.00%","0.000","0.00","","","","","","","","","","","","0 ₫","","",""
"","","680Y","68K","","0.000","0.000","0.000","0.000","","0.0004","0.000","0.0000","","0.000","0.000","","","","","",""
"","","","TC 610K","","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","0.00","0.00","0.00","0.00%","0 ₫","","",""
"","","610 trắng","610W","61.00%","0.000","0.00","","","","","","","","","","","","0 ₫","","",""
"","","610W","61K","","0.000","0.000","0.000","0.000","","0.0004","0.000","0.0000","","0.000","0.000","","","","","",""
"","","610 vàng","610Y","61.00%","0.000","0.00","","","","","","","","","","","","0 ₫","","",""
"","","610Y","61K","","0.000","0.000","0.000","0.000","","0.0004","0.000","0.0000","","0.000","0.000","","","","","",""
"Nhận xét","","","","","","","","","","","","","","","","","","","","",""
